Name,Selling Price,Original Price,Discount
Potato (Aloo),28,36,22% OFF
Onion (Pyaz),36,46,22% OFF
Green Chilli 100 g (Hari Mirch),20,27,26% OFF
Ginger (Adrak),40,50,20% OFF
Lemon,29,37,22% OFF
English Cucumber (Kheera),39,51,24% OFF
Cauliflower (Phool Gobhi),88,110,20% OFF
Desi Tomato (Tamatar),46,60,23% OFF
Hybrid Tomato (Tamatar),54,71,24% OFF
Button Mushroom,51,65,22% OFF
Bottle Gourd (Lauki),25,32,22% OFF
Garlic (Lehsun),45,58,22% OFF
Beetroot (Chukandar),41,51,20% OFF
Orange Carrot (Gajar),17,22,23% OFF
Cabbage (Patta Gobhi),31,41,24% OFF
Green Peas (Matar),51,65,22% OFF
Potato Carisma (Lower Glycemic Index),62,83,25% OFF
Arvi,18,22,18% OFF
Baby Potato (Aloo),17,23,26% OFF
Small Purple Brinjal (Baingan),16,21,24% OFF
Drumstick (Sahjan),45,59,24% OFF
Red Potato (Aloo),41,52,21% OFF
Raw Turmeric (Kachhi Haldi),39,53,26% OFF
Round Gourd (Tinda),35,47,26% OFF
Bitter Gourd (Karela),20,25,20% OFF
Baby Onion (Sirka Pyaz),17,23,26% OFF
Ivy Gourd (Kundru),25,34,26% OFF
Cluster Beans (Gwar Phali),44,61,28% OFF
Corn Cob (Bhutta),33,44,25% OFF
Raw Banana (Kacha Kela),36,45,20% OFF
